Display,Graphics Card,Hard Drive,Keyboard,Laptop,Memory,Operating System,Processor,final price
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512 PCIe M.2 SSD) RAID0,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,16672.371109999993
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512 PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,15725.691109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512 PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,16909.041109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,17066.821109999993
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,18250.171109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,17303.491109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,18486.841109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,20459.091109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,21642.441109999992
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,20695.761109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,21879.111109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512GB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,16277.921109999997
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512GB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,17461.271109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512GB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,16514.591109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,1TB (2x 512GB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,17697.941109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,18092.391109999993
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,19275.741109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,18329.061109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,2TB (2x 1TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,19512.411109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,21484.661109999994
