Display,Graphics Card,Hard Drive,Keyboard,Laptop,Memory,Operating System,Processor,final price
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,22668.011109999992
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,21721.331109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3060 6GB,4TB (2x 2TB PCIe M.2 SSD) RAID0 [Boot] + 512GB PCIe M.2 SSD [Storage],Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,22904.681109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,256GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,16277.921109999997
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,256GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,17461.271109999994
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,256GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,16514.591109999998
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,256GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,17697.941109999996
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,512GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,16672.371109999993
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,512GB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,32GB,home,i7,17855.721109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,512GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,16GB,home,i7,16909.041109999995
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,512GB PCIe M.2 SSD,Alienware mSeries per-key AlienFX RGB keyboard with numeric keypad (Optional),m17-r4,32GB,home,i7,18092.391109999993
"W 17.3"" FHD (1920 x 1080) 144Hz 7ms 300-nits 72% NTSC color gamut with NVIDIA-GSYNC technology",3070 8GB,1TB PCIe M.2 SSD,Alienware mSeries 4-Zone AlienFX RGB keyboard with numeric keypad (Standard),m17-r4,16GB,home,i7,17461.271109999994
